track,cos_AB,ovl_AB,cos_AC,ovl_AC,cos_AD,ovl_AD,cos_BC,ovl_BC,cos_BD,ovl_BD,cos_CD,ovl_CD
"Delarosa And Asora/Agony Part 1/07 Paz Suite 1.mp3",-0.0697,0.30,-0.0779,0.50,0.9521,0.30,0.9539,0.50,-0.0705,0.10,-0.0821,0.20
"Delorean/Subiza/01 Stay Close.mp3",-0.0069,0.00,-0.0214,0.30,0.9876,0.40,0.9696,0.60,-0.0182,0.00,-0.0330,0.10
"Depeche Mode/Playing The Angel/11 Lilian.mp3",-0.0314,0.10,-0.0339,0.30,0.9878,0.60,0.9791,0.40,-0.0398,0.00,-0.0439,0.00
"Dirty White Boy/Twist This Pussy/13 - Triple XXX Porn.mp3",-0.0770,0.70,-0.0783,0.70,0.9915,0.60,0.9772,0.70,-0.0731,0.50,-0.0756,0.50
"Discoverer/Personal Clone (Single)/01 Personal Clone.mp3",0.0646,0.60,0.0463,0.40,0.9522,0.70,0.9296,0.40,0.0674,0.50,0.0590,0.40
"Dominik Eulberg/Hop Chip - Dj-Kicks/13 Der Buchdrucker.mp3",-0.0415,0.30,-0.0473,0.50,0.9682,0.50,0.9619,0.60,-0.0451,0.30,-0.0508,0.30
"Dominique/Electronic Groove Card/101 He Said (Vinyl Version).mp3",-0.0583,0.40,-0.0710,0.40,0.9815,0.70,0.9565,0.70,-0.0631,0.50,-0.0755,0.40
"Donovan/Donovan's Greatest Hits/11 Season of the witch.mp3",-0.0406,0.30,-0.0376,0.30,0.9856,0.60,0.9831,0.80,-0.0329,0.30,-0.0317,0.30
"Dreams West/12_56/05 Omni Island.mp3",0.0004,0.40,0.0153,0.50,0.9830,0.30,0.9781,0.70,0.0073,0.60,0.0190,0.50
"Dubtribe Sound System/Unknown Album/Wednesday Night.mp3",-0.0456,0.10,-0.0485,0.10,0.9054,0.10,0.9185,0.30,-0.0585,0.10,-0.0516,0.00
"Duke/Groove Radio International Presents_ House/09 - So In Love With You (Full Intention Mix).mp3",-0.0211,0.40,-0.0354,0.30,0.9818,0.40,0.9579,0.60,-0.0223,0.20,-0.0373,0.10
"Duran Duran/Duran Duran (Remastered)/08 Friends Of Mine.mp3",0.0054,0.20,0.0054,0.30,0.9893,0.40,0.9756,0.60,0.0100,0.30,0.0098,0.30
"EMF/Unknown Album/You're Unbelievable.mp3",-0.0250,0.10,-0.0163,0.10,0.9894,0.70,0.9798,0.60,-0.0223,0.00,-0.0125,0.10
"EYELINER/BUY NOW/10 Private Hospital.mp3",0.0048,0.40,0.0075,0.50,0.9893,0.80,0.9746,0.80,0.0006,0.40,0.0058,0.50
"Eagles of Death Metal/Death by Sexy/11 Eagles Goth.mp3",-0.0204,0.30,-0.0125,0.50,0.9830,0.70,0.9692,0.60,-0.0335,0.20,-0.0243,0.30
"Echowest/New Deutsch/10 - Engelst\u00fcr.mp3",-0.0486,0.00,-0.0545,0.30,0.9565,0.30,0.9487,0.50,-0.0307,0.10,-0.0303,0.10
"Eclipse 8/Global Underground 003_ San Francisco/05 - Acoustic Principles.mp3",-0.0865,0.20,-0.0825,0.40,0.9647,0.30,0.9676,0.80,-0.0822,0.40,-0.0785,0.40
"Enik/Without A Bark/1-02 How To Destroy.mp3",0.0221,0.00,0.0272,0.50,0.9655,0.30,0.9139,0.00,0.0154,0.20,0.0253,0.00
"Entity/OneMinuteMassacre v1/15 Entity.mp3",0.0072,0.20,0.0005,0.40,0.9783,0.40,0.9670,0.40,0.0074,0.30,0.0020,0.00
"Equip/Cursebreaker X/3 - EQUIP - Cemetery Moonglow (In the Cold Air of the Night).flac",-0.0068,0.40,-0.0057,0.30,0.9894,0.50,0.9811,0.60,-0.0028,0.30,-0.0016,0.20
"Erasure/Ne-EP/Erasure - Ne-EP - 01 - Time (Hearts Full of Love).flac",-0.0306,0.30,-0.0180,0.40,0.9911,0.70,0.9739,0.60,-0.0299,0.30,-0.0172,0.30
"Erasure/Pop! The First 20 Hits/05 It Doesn't Have To Be.mp3",-0.0072,0.10,0.0129,0.10,0.9793,0.70,0.9516,0.50,-0.0038,0.10,0.0137,0.00
"Eric Serra/The Fifth Element - Soundtrack/12 Badaboom.mp3",0.0224,0.40,0.0266,0.60,0.9870,0.70,0.9770,0.70,0.0126,0.50,0.0158,0.40
"Erika Eigen/Stanley Kubrick's A Clockwork Orange (Music from the Soundtrack)/11 - I Want To Marry A Lighthouse Keeper.mp3",-0.0746,0.40,-0.0744,0.40,0.9898,0.70,0.9872,0.80,-0.0687,0.60,-0.0685,0.50
"Expansion/Global Underground_ Buenos Aires/08 - Feel.mp3",-0.1017,0.40,-0.0867,0.30,0.9638,0.40,0.9445,0.60,-0.0842,0.30,-0.0669,0.00
