track,cos_AB,ovl_AB,cos_AC,ovl_AC,cos_AD,ovl_AD,cos_BC,ovl_BC,cos_BD,ovl_BD,cos_CD,ovl_CD
"Zorn/Knottel/04 Knottel Amx.mp3",0.0080,0.70,0.0236,0.70,0.9658,0.40,0.9578,0.70,0.0000,0.30,0.0171,0.30
"_imports/20260225_010706/05 - Luftschlosz.flac",0.0037,0.40,0.0012,0.50,0.9832,0.60,0.9858,0.60,-0.0032,0.40,-0.0042,0.40
"_imports/20260225_182336/The Smashing Pumpkins - Smiley (Gish sessions demo).flac",0.0300,0.50,0.0241,0.50,0.9916,0.50,0.9805,0.60,0.0417,0.50,0.0341,0.50
"_imports/20260225_201906/Deerhunter - Desire Lines.flac",-0.0057,0.40,-0.0018,0.30,0.9765,0.40,0.9698,0.70,-0.0071,0.20,-0.0004,0.00
"_imports/20260225_201910/Screaming Trees - Nearly Lost You.flac",-0.0189,0.60,-0.0114,0.70,0.9929,0.70,0.9781,0.90,-0.0238,0.50,-0.0169,0.50
"_imports/20260225_201934/Fiona Apple - Criminal.flac",0.0286,0.20,0.0217,0.30,0.9908,0.60,0.9763,0.50,0.0267,0.20,0.0189,0.00
"_imports/20260225_205642/Erasure - Who Needs Love Like That.flac",-0.0476,0.40,-0.0461,0.30,0.9898,0.50,0.9849,0.80,-0.0414,0.40,-0.0411,0.30
"_imports/20260225_205644/Dead Can Dance - The Host of Seraphim.flac",0.0001,0.40,0.0171,0.40,0.9858,0.80,0.9653,0.80,0.0027,0.30,0.0171,0.30
"_imports/20260225_205722/Candy Claws - Fell in Love (At the Water).flac",-0.0384,0.50,-0.0304,0.40,0.9707,0.40,0.9553,0.60,-0.0511,0.40,-0.0417,0.30
"_imports/20260225_211644/Cut Copy - Lights and Music.flac",0.0111,0.30,0.0141,0.20,0.9753,0.50,0.9640,0.80,0.0032,0.20,0.0041,0.10
"_imports/20260225_215148/The Seatbelts - Tank! (TV edit).flac",-0.0323,0.30,-0.0468,0.40,0.9763,0.60,0.9569,0.70,-0.0466,0.30,-0.0637,0.50
"_imports/20260225_223512/Makeup and Vanity Set - The Cross.flac",0.0158,0.30,0.0013,0.30,0.9879,0.60,0.9767,0.70,0.0128,0.40,0.0012,0.40
"_imports/20260225_223528/David Byrne & Brian Eno - Strange Overtones.flac",0.0205,0.10,0.0369,0.20,0.9761,0.30,0.9554,0.50,0.0170,0.20,0.0345,0.20
"_imports/20260225_223533/Poolside - Slow Down.flac",0.0510,0.20,0.0511,0.50,0.9346,0.10,0.9380,0.60,0.0586,0.20,0.0589,0.30
"_imports/20260225_223543/Fleetwood Mac - Peacekeeper.flac",-0.0179,0.40,-0.0059,0.70,0.9828,0.60,0.9594,0.60,-0.0136,0.30,0.0003,0.50
"_imports/20260225_233459/Light Asylum - A Certain Person.flac",-0.0255,0.30,-0.0106,0.50,0.9848,0.70,0.9601,0.60,-0.0370,0.40,-0.0198,0.60
"_imports/20260226_002704/Jacob 2-2 - Kent.mp3",-0.0607,0.30,-0.0598,0.50,0.9873,0.50,0.9714,0.40,-0.0558,0.60,-0.0545,0.40
"_imports/20260226_002729/Hall & Oates - Rich Girl.flac",0.1027,0.40,0.0874,0.60,0.9840,0.60,0.9811,0.60,0.0999,0.40,0.0843,0.60
"_imports/20260226_015919/Diskjokke - Staying In.flac",-0.0435,0.30,-0.0236,0.30,0.9688,0.50,0.9588,0.50,-0.0722,0.20,-0.0554,0.00
"_imports/20260226_150429/Ruby Haunt - Video Dreams.flac",0.0157,0.40,0.0021,0.40,0.9835,0.50,0.9700,0.50,0.0077,0.40,-0.0060,0.40
"_imports/20260226_150430/TVAM - Porsche Majeure.flac",0.0107,0.20,0.0127,0.20,0.9916,0.70,0.9692,0.70,0.0064,0.20,0.0111,0.20
"_imports/20260226_150446/Melt Yourself Down - Fix My Life.flac",-0.0062,0.40,-0.0133,0.50,0.9797,0.30,0.9680,0.60,-0.0094,0.40,-0.0166,0.40
"_imports/20260226_150452/Goat Girl - Where Do We Go From Here_.flac",0.0243,0.20,-0.0022,0.20,0.9662,0.50,0.9492,0.60,0.0067,0.30,-0.0182,0.10
"_imports/20260226_150456/Still Corners - The Trip.flac",0.0288,0.30,0.0327,0.40,0.9799,0.70,0.9780,0.80,0.0120,0.30,0.0179,0.40
"_imports/20260226_150458/Teleman - Submarine Life.flac",-0.0014,0.30,-0.0119,0.20,0.9747,0.40,0.9731,0.50,0.0004,0.10,-0.0088,0.10
"_imports/20260226_150502/YACHT - Psychic City (Classixx Remix).flac",0.0147,0.30,0.0024,0.30,0.9746,0.50,0.9538,0.40,0.0128,0.10,0.0004,0.30
"_imports/20260226_160054/De Lux - Else.flac",0.0131,0.10,0.0040,0.10,0.9722,0.30,0.9530,0.80,-0.0060,0.20,-0.0156,0.10
"_imports/20260226_160109/James Holden - Blackpool Late Eighties.flac",-0.0739,0.10,-0.0742,0.30,0.9849,0.60,0.9688,0.50,-0.0719,0.10,-0.0716,0.20
"_imports/20260226_182545/Nation of Language - Across That Fine Line.flac",0.0186,0.20,0.0111,0.20,0.9892,0.60,0.9708,0.90,0.0260,0.40,0.0187,0.40
"_imports/20260228_040634/Melody's Echo Chamber - Mount Hopeless.flac",0.0428,0.00,0.0242,0.10,0.9812,0.30,0.9506,0.40,0.0446,0.30,0.0312,0.10
"_imports/20260228_040638/Ulrich Schnauss & Jonas Munk - Asteroid 2467 (single version).flac",0.0062,0.50,-0.0081,0.60,0.9955,0.80,0.9885,0.60,0.0042,0.60,-0.0103,0.60
"bittertv/the music of the now age/10 combat home electronics.mp3",0.0569,0.50,0.0530,0.40,0.9920,0.60,0.9861,0.60,0.0502,0.50,0.0472,0.40
"brothomstates/winterschlaf/11 in.mp3",0.0323,0.30,0.0379,0.50,0.9941,0.40,0.9931,0.70,0.0303,0.40,0.0357,0.30
"cLOUDDEAD/Dead Dogs Two/Dead Dogs Two (Boards Of Canada Remix).mp3",-0.0526,0.40,-0.0449,0.40,0.9480,0.30,0.9085,0.40,-0.0576,0.40,-0.0488,0.20
"dBridge/Exit Records Presents - Mosaic Vol. 1/1-06 Rendezvous.mp3",0.0538,0.20,0.0556,0.30,0.9875,0.60,0.9781,0.60,0.0539,0.20,0.0557,0.30
"freezepop/Fancy Ultra Fresh/08 duct tape my heart.mp3",-0.0601,0.40,-0.0543,0.40,0.9843,0.70,0.9603,0.30,-0.0615,0.30,-0.0518,0.20
"freezepop/Unknown Album/supersprode.mp3",-0.0984,0.60,-0.0809,0.50,0.9936,0.70,0.9741,0.70,-0.0986,0.60,-0.0809,0.40
"ilkae/Bring Extra Dragons/14 Smok Battle.mp3",-0.0503,0.30,-0.0594,0.40,0.9851,0.40,0.9763,0.60,-0.0312,0.30,-0.0385,0.10
"ilkae/formal format/04 - locate cycle.mp3",-0.0502,0.50,-0.0501,0.50,0.9970,0.50,0.9898,0.50,-0.0478,0.40,-0.0479,0.20
"malewarlock/the music of the now age/08 lagoon serenade.mp3",0.0126,0.30,0.0209,0.60,0.9959,0.50,0.9906,0.70,0.0150,0.30,0.0222,0.40
"m\u00fam/Go Go Smear The Poison Ivy/02 A Little Bit, Sometimes.mp3",0.0048,0.20,-0.0030,0.20,0.9679,0.40,0.9543,0.30,-0.0023,0.10,-0.0097,0.00
"m\u00fam/Summer Make Good/03 Nightly Cares.mp3",0.0041,0.50,-0.0315,0.60,0.9686,0.60,0.9510,0.50,0.0045,0.50,-0.0303,0.30
"nouvelle vague/Band A'part/12 Let Me Go.mp3",-0.0342,0.30,-0.0195,0.40,0.9608,0.20,0.9533,0.60,-0.0503,0.50,-0.0351,0.30
"nullsleep/www.nullsleep.com/depeche mode gameboy megamix!.mp3",0.0073,0.40,0.0154,0.60,0.9916,0.70,0.9834,0.80,-0.0020,0.50,0.0055,0.70
"ochre/http___www.ochremusic.com_/Ourcade.mp3",-0.0856,0.30,-0.0704,0.50,0.9596,0.50,0.9646,0.70,-0.0718,0.30,-0.0583,0.20
"orthodontrix/first visit/04 wax bite.mp3",0.0149,0.40,-0.0056,0.50,0.9853,0.40,0.9838,0.50,0.0072,0.50,-0.0125,0.40
"the russian futurists/Let's Get Ready to Crumble/05 A Telegram From the Future.mp3",0.0037,0.20,0.0091,0.30,0.9872,0.60,0.9855,0.70,0.0005,0.10,0.0086,0.20
"vivien goldman/Disco Not Disco (Post Punk, Electro & Leftfield Disco Classics)/01 launderette.mp3",-0.0516,0.20,-0.0397,0.40,0.9845,0.50,0.9728,0.70,-0.0403,0.10,-0.0274,0.20
"\u83c5\u91ce\u3088\u3046\u5b50/COWBOY BEBOP - Vitaminless/08 Black Coffee.mp3",-0.0510,0.50,-0.0396,0.60,0.9628,0.80,0.9490,0.70,-0.0550,0.30,-0.0419,0.40
